school_nm,network_num,school_id,y,sch_type,sch_addr,x,grades,lon,lat
MARSHALL HS,Network 5,609723,41.87844409,District,"3250 W Adams St, 60624",-87.70805007,"9, 10, 11, 12",-87.70805007,41.87844409
MATHER HS,Network 2,609724,41.98758868,District,"5835 N Lincoln Ave, 60659",-87.7024964,"9, 10, 11, 12",-87.7024964,41.98758868
MORGAN PARK HS,Network 10,609725,41.69203501,District,"1744 W Pryor Ave, 60643",-87.66565755,"7, 8, 9, 10, 11, 12",-87.66565755,41.69203501
MULTICULTURAL ACAD SCHOLARSHIP,Network 7,610385,41.83528187,District,"3120 S Kostner Ave, 60623",-87.7352833,"9, 10, 11, 12",-87.7352833,41.83528187
NORTH-GRAND HS,Network 5,609691,41.91167369,District,"4338 W Wabansia Ave, 60639",-87.73523756,"9, 10, 11, 12",-87.73523756,41.91167369
NORTHSIDE PREP HS,Network 1,609749,41.98131528,District,"5501 N Kedzie Ave, 60625",-87.7087078,"9, 10, 11, 12",-87.7087078,41.98131528
OGDEN HS,Network 6,610529,41.89354764,District,"1250 W Erie St, 60642",-87.65940468,"6, 7, 8, 9, 10, 11, 12",-87.65940468,41.89354764
PAYTON HS,Network 6,609680,41.90157517,District,"1034 N Wells St, 60610",-87.63538477,"9, 10, 11, 12",-87.63538477,41.90157517
PROSSER HS,Network 3,609679,41.9200594,District,"2148 N Long Ave, 60639",-87.76104832,"9, 10, 11, 12",-87.76104832,41.9200594
RABY HS,Network 5,610334,41.88621006,District,"3545 W Fulton Blvd, 60624",-87.71542312,"9, 10, 11, 12",-87.71542312,41.88621006
RICHARDS HS,Network 8,609682,41.80288138,District,"5009 S Laflin St, 60609",-87.66227785,"9, 10, 11, 12",-87.66227785,41.80288137
ROBESON HS,Network 11,609707,41.7697138,District,"6835 S Normal Blvd, 60621",-87.63715272,"9, 10, 11, 12",-87.63715272,41.7697138
ROOSEVELT HS,Network 1,609728,41.96482788,District,"3436 W Wilson Ave, 60625",-87.71481862,"9, 10, 11, 12",-87.71481862,41.96482788
SCHURZ HS,Network 1,609729,41.94636454,District,"3601 N Milwaukee Ave, 60641",-87.73561211,"9, 10, 11, 12",-87.73561211,41.94636454
SENN HS,Network 2,609730,41.98902854,District,"5900 N Glenwood Ave, 60660",-87.66713619,"9, 10, 11, 12",-87.66713619,41.98902854
SIMEON HS,Network 11,609692,41.74578123,District,"8147 S Vincennes Ave, 60620",-87.63541037,"9, 10, 11, 12",-87.63541037,41.74578123
SOUTH SHORE INTL HS,Network 12,610547,41.75879166,District,"1955 E 75th St, 60649",-87.57635264,"9, 10, 11, 12",-87.57635264,41.75879166
SOCIAL JUSTICE HS,Network 7,610383,41.83616882,District,"3120 S Kostner Ave, 60623",-87.73527796,"9, 10, 11, 12",-87.73527796,41.83616882
STEINMETZ COLLEGE PREP HS,Network 3,609732,41.93563359,District,"3030 N Mobile Ave, 60634",-87.78351523,"9, 10, 11, 12",-87.78351523,41.93563359
SULLIVAN HS,Network 2,609733,42.00268756,District,"6631 N Bosworth Ave, 60626",-87.66919215,"9, 10, 11, 12",-87.66919215,42.00268756
TAFT HS,Network 1,609734,41.98296099,District,"6530 W Bryn Mawr Ave, 60631",-87.79154725,"7, 8, 9, 10, 11, 12",-87.79154725,41.98296099
TEAM HS,Network 11,610506,41.7814849,District,"6201 S Stewart Ave, 60621",-87.63301879,"9, 10, 11, 12",-87.63301879,41.7814849
TILDEN HS,Network 8,609735,41.80751007,District,"4747 S Union Ave, 60609",-87.64296648,"9, 10, 11, 12",-87.64296648,41.80751007
UPLIFT HS,Network 2,610394,41.96554746,District,"900 W Wilson Ave, 60640",-87.65247335,"9, 10, 11, 12",-87.65247335,41.96554746
VOISE HS,Network 3,610518,41.88599329,District,"231 N Pine Ave, 60644",-87.76191637,"9, 10, 11, 12",-87.76191637,41.88599329
VON STEUBEN HS,Network 1,609737,41.97318505,District,"5039 N Kimball Ave, 60625",-87.71338625,"9, 10, 11, 12",-87.71338625,41.97318505
WASHINGTON HS,Network 13,609739,41.68813694,District,"3535 E 114th St, 60617",-87.5375703,"9, 10, 11, 12",-87.5375703,41.68813694
WELLS HS,Network 6,609740,41.89899471,District,"936 N Ashland Ave, 60622",-87.66748287,"9, 10, 11, 12",-87.66748287,41.89899471
"WILLIAMS, D",Network 9,610380,41.8061176,District,"4934 S Wabash Ave, 60615",-87.62502998,"9, 10, 11, 12",-87.62502998,41.8061176
WORLD LANGUAGE HS,Network 7,610392,41.83439662,District,"3120 S Kostner Ave, 60623",-87.73529222,"9, 10, 11, 12",-87.73529222,41.83439662
YOUNG HS,Network 6,609755,41.87860253,District,"211 S Laflin St, 60607",-87.66423334,"7, 8, 9, 10, 11, 12",-87.66423334,41.87860253
